License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Zip Code,Square Footage,Retail_Address
733149,Store,A,SPEEDWAY LLC,SPEEDWAY LLC,719,NEW LOUDON RD,12110,300,719 NEW LOUDON RD
704590,Store,JAC,1250 SELKIRK INC,1250 SELKIRK,1250,RTE 9W & 396,12158,3000,1250 RTE 9 W
727909,Store,JAC,RED-KAP SALES INC,1667 GENERAL STORE,1667,WESTERN AVENUE,12203,2000,1667 WESTERN AVENUE
720557,Store,JAC,SAEED SADIQ SAIKA NOREEN,19 STREET QUICK STOP,315,19TH STREET,12189,1200,315 19TH STREET
15890,Store,A,AZIZ MOHAMMAD S,24 HR ALBANY NEWS,8,CENTRAL AVE,12210,1800,8 CENTRAL AVE
735254,Store,JAC,7-ELEVEN INC,7-ELEVEN,477,DELAWARE AVE,12209,0,477 DELAWARE AVE
708848,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ PRICE CHOPP,873,NEW LOUDON RD,12110,0,873 NEW LOUDON RD
716318,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ PRICE CHOPP,1706,WESTERN AVE,12084,200,1706 WESTERN AVE
713889,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @ PRICE CHOPP,329,GLENMONT RD,12077,0,329 GLENMONT RD
715759,Store,JAC,ADVANCED FRESH CONCEPTS FRANCHISE,AFC SUSHI @PRICE CHOPPE,1395,NEW SCOTLAND RD,12159,2000,1395 NEW SCOTLAND RD
723927,Store,JAC,ADVANCED FRESH CONCEPTS FRAN CORP,AFC SUSHI@ PRICE CHOPPE,2080,WESTERN AVE,12084,400,2080 WESTERN AVE
10231,Store,JABC,KINGLENDER INC,AIRPORT MOBIL,1114,TROY SCHENECTADY RD,12110,2500,1114 TROY SCHENECTADY RD
729156,Store,JAC,309 CENTRAL LLC,ALADDIN HALAL MARKET,309A,CENTRAL AVE,12206,3000,309A CENTRAL AVE
720300,Store,JAC,AL AQSA MEAT AND GROCER IMPORT LL,AL AQSA MEAT AND GROCER,200,TROY SHCENECTADY RD,12110,1200,200 TROY SHCENECTADY RD
15724,Store,JAC,ALBANY BEVERAGE CORP,ALBANY BEVERAGE,3899,CARMEN RD,12303,9600,3899 CARMEN RD
11003,Store,JAC,ALBANY DISTILLING CO INC THE,ALBANY DISTILLING CO,78,MONTGOMERY ST,12207,0,78 MONTGOMERY ST
717894,Store,JAC,ALBANY FAST FOOD INC,ALBANY FAST FOOD,9,NEW SCOTLAND AVE,12208,0,9 NEW SCOTLAND AVE
729938,Store,A,ALBANY MONNAT CORP,ALBANY MONNAT,415,RT 9W,12077,1500,415 RT 9 W
708806,Store,JAC,HAFEEZ TAHIR,ALBANY NEWS DELI,396,CENTRAL AVE,12206,1600,396 CENTRAL AVE
722623,Store,A,ALDI INC,ALDI #81,1885,CENTRAL AVENUE,12205,1700,1885 CENTRAL AVENUE
723246,Store,JAC,ALIBABA HALAL MEAT & GROCERIES LL,ALIBABA HALAL MEAT & GR,21,CENTRAL AVE,12210,1500,21 CENTRAL AVE
10348,Store,JAC,HUSSAIN JARRAR,ALI BABAS INDIAN SPICES,10,FULLER RD,12205,400,10 FULLER RD
10962,Store,JAC,OAM GANESH CORP,ALLEN MINI MART,136,N ALLEN ST,12206,1200,136 N ALLEN ST
727298,Store,JAC,ALL THE WAY UP GROCERY,ALL THE WAY UP GROCERY,106,ONTARIO STREET,12206,1500,106 ONTARIO STREET
15122,Store,JAS,ALTAMONT COUNTRY VALUES INC,ALTAMONT AGWAY,106,PROSPECT TERRACE,12009,5000,106 PROSPECT TERRACE
15621,Store,JABCP,ALTAMONT ORCHARDS INC,ALTAMONT ORCHARDS,6654,DUNNSVILLE RD,12009,8000,6654 DUNNSVILLE RD
10499,Store,JAC,ZAID SALEH N,A&M GROCERY,32,N SWAN ST,12210,1500,32 N SWAN ST
10134,Store,JAC,ANDYS ITALIAN FOOD&DELI LTD,ANDYS ITALIAN FOOD&DELI,256,DELAWARE AVE,12209,1000,256 DELAWARE AVE
10723,Store,A,AGOSTINI ANGIE,ANGELS LASTING IMPRESSI,,AGY 3 & 4 EMPIRE STATE PLAZA,12223,400,
734738,Store,JAC,A PINCH OR A POUND LLC,A PINCH OR A POUND ALBA,1,CROSSGATES MALL RD,12203,0,1 CROSSGATES MALL RD
734739,Store,JAC,A PINCH OR A POUND LLC,A PINCH OR A POUND COLO,131,COLONIE CENTER,12205,0,131 COLONIE CENTER
735243,Store,JAC,7-ELEVEN INC,A PLUS #40417H,1465,WASHINGTON AVE,12206,0,1465 WASHINGTON AVE
735256,Store,JAC,7-ELEVEN INC,A PLUS #40431H,902,LOUDON RD,12110,0,902 LOUDON RD
10615,Store,JAC,DUNCO INC,A PLUS SUNOCO,656,ALBANY SHAKER RD,12211,1800,656 ALBANY SHAKER RD
731013,Store,JAC,LITHIA ARMORY GARAGE LLC,ARMORY MINI MART,926,CENTRAL AVENUE,12205,0,926 CENTRAL AVENUE
10879,Store,JAC,ASIAN SUPERMARKET GROUP INC,ASIAN SUPERMARKET,1245,CENTRAL AVE,12205,14000,1245 CENTRAL AVE
714291,Store,JAC,A&Y DELI GROCERY INC,A&Y DELI GROCERY,92,LEXINGTON AVE,12206,1200,92 LEXINGTON AVE
10467,Store,JAC,BALLTOWN SERVICE INC,BALLTOWN SERVICE,370,NEW KARNER RD,12205,1200,370 NEW KARNER RD
726213,Store,JAC,BA'S BEES LLC,BA'S BEES,326,WATERVLIET-SHAKER ROAD,12189,182,326 WATERVLIET-SHAKER ROAD
726258,Store,A,JAMIG LLC,BEEF JERKY OUTLET,640,NEW LOUDON RD STE 102,12110,950,640 NEW LOUDON RD
723274,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,579,TROY SCHENECTADY RD,12110,100,579 TROY SCHENECTADY RD
723047,Store,JAC,BENTO NOUVEAU INC,BENTO SUSHI,180,DELAWARE AVE,12054,400,180 DELAWARE AVE
