Facility_Number,Facility Name,Facility Street,Facility Zip Code,Owner Name,Business Type,Original Issuance Date,Last Renewal Date,Expiration Date
7123280,3 OK AUTO CARE INC,479 PEARL ST,12202,JAMES UNDERWOOD,RS,30-11-2017,30-11-2017,31-10-2019
7122554,518 MOTORSPORTS LLC,479 SO PEARL ST,12202,PEDRO CEDENO,RS,01-08-2017,01-08-2017,31-07-2019
7116731,A 1 AUTOMOTIVE,707 THIRD STREET,12206,CHAD J NICHOLS,RS,10-10-2013,10-10-2013,30-09-2015
7063203,AAMCO TRANSMISSIONS IN THE ESTATE OF,1029 CENTRAL AVE,12205,DUVA INC,RS,27-05-1993,02-04-2019,30-04-2021
3010356,AAPG INC,808 CENTRAL AV,12206,RONALD ABBOTT,RS,19-05-1980,14-05-2018,31-05-2020
7116962,AASHARK AUTOMOTIVE LLC,1054 CENTRAL AVE,12205,ANTHONY J ANDERSEN,RS,27-11-2013,27-11-2013,31-10-2015
7001863,ABELE TRACTOR&EQUIP CO INC,72 EVERETT RD,12205,RODNEY ABELE,RS,22-09-1981,25-06-2019,31-08-2021
7121502,ACCESS AUTO SALES AND SERVICE,68 FULLER ROAD,12205,JOSEPH LOMBARDI,RS,14-10-2016,31-07-2018,30-09-2020
7125522,ACTION ENTERPRISE 1 LLC,9 APOLLO DRIVE,12205,DIANE RICH WOLFE,RS,30-04-2019,30-04-2019,31-03-2021
7101239,ADIRONDACK HERCULES TIRE CORP,1610 WESTERN AVE,12203,LAWRENCE OSHEA,RS,22-02-2006,03-01-2018,31-01-2020
7068059,ADIRONDACK HERCULES TIRE CORP,2015 CENTRAL AV,12205,LAWRENCE OSHEA,RS,30-08-1994,18-07-2018,31-07-2020
7111499,ADIRONDECK HERCULES TIRE CORP,810 CENTRAL AVENUE,12206,LAWRENCE M OSHEA,RS,24-12-2010,15-11-2012,30-11-2014
7098865,ADVANTAGE TRANSIT GROUP INC,137 NO LARK STREET,12210,GEORGE DEUTSCH,RS,11-01-2005,02-11-2018,31-12-2020
7103688,ALBANY BATTERY INC,69 TERMINAL STREET,12206,JOSEPH TREMBLEY,RS,21-03-2007,31-01-2019,28-02-2021
7051229,ALBANY FOREIGN AUTO SERVICE,120 CATHERINE ST,12202,WILLIAM MOESHEESH,RS,19-04-1990,08-03-2018,31-03-2020
3010134,ALBANY HONDA,390 NEW KARNER RD,12205,JAF MOTORS INC,RS,03-07-1980,07-05-2018,31-05-2020
7070582,ALBANY LIGHT TRUCK & CAR REPAIR,4 ANDERSON DR,12205,ALBANY LIGHT TRUCK,RS,02-05-1995,16-04-2019,30-04-2021
7073596,ALBANY MACK SALES,90 HARTS LA,12204,SBD HOLDING COMPANY,RS,27-02-1996,03-01-2018,31-01-2020
3010372,ALBANY SPRING SERV INC,408 N PEARL ST,12207,PETER A BRODERICK,RS,14-05-1980,14-05-2018,31-05-2020
7084173,ALBANY VOLVO HINO TRUCK SALES,90 HARTS LA,12204,ALBANY TRUCK SALES,RS,23-03-1999,01-02-2019,28-02-2021
7105307,ALBANY WHEEL SERVICES,22 VELINA DRIVE,12203,MALETTE ENTERPRISES,RS,14-02-2008,03-01-2018,31-01-2020
7123089,A LINE AUTO GLASS LLC,108 MARJORIE DRIVE,12203,JUNIOR B CARMONA,RS,26-10-2017,30-07-2019,30-09-2021
7108128,AL KANUAM CARS,84 ALEXANDER ST,12202,ABDULSATTAR SALIH,RS,28-07-2015,18-03-2019,31-03-2021
7060933,AMAZIN GLASS CO OF ALBANY,595 LIVINGSTON AVE,12206,HAROLD W HATFIELD,RS,04-11-1992,18-10-2018,31-10-2020
7104656,AMB AUTO,435 SOUTH PEARL ST,12202,AMB NY GROUP LLC,RS,29-06-2010,08-06-2019,31-07-2021
7123804,AMERICAN AUTO REPAIR,1904 WESTERN AVE,12203,GNLR ENTERPRISES LLC,RS,12-04-2018,12-04-2018,31-03-2020
3010468,AMERICAN GLASS CO OF ALBANY,543 CENTRAL AVE,12206,DAVID ABBOTT,RS,02-04-1986,16-01-2018,31-03-2020
7066405,AMX AUTO GLASS,81 HUNTING RD,12205,RICHARD C MESCHINO,RS,25-04-1994,26-02-2018,31-03-2020
7123145,ARMORY CHRYSLR DODGE JEEP RAM FIAT OF ALB,926 CENTRAL AVE,12205,LITHIA ARMORY GARAGE,RS,03-11-2017,03-11-2017,31-10-2019
7111795,ARMORY FIAT,934 CENTRAL AVENUE,12205,AFOA LLC,RS,23-03-2011,22-02-2017,28-02-2019
3010045,ARMORY GARAGE INC,926 CENTRAL AVE,12205,DONALD S METZNER,RS,07-05-1980,12-05-2016,31-05-2018
7050922,ARMORY NISSAN INC,940 CENTRAL AVE,12205,DONALD S METZNER,RS,16-03-1990,16-01-2012,28-02-2014
7034558,ART TAYLORS GARAGE INC,81 RUSSELL RD,12205,ARTHUR W TAYLOR JR,RS,06-05-1986,02-03-2018,30-04-2020
7093330,AUTOBAHN CENTRE,484 CENTRAL AV,12206,AUTOBAHN CENTRE INC,RS,25-09-2002,25-07-2018,31-08-2020
7090053,AUTO MEDICS,26B YARDBORO AV,12205,VANESSA M KALLNER,RS,18-05-2001,02-04-2019,30-04-2021
7124244,AXIS AUTO REPAIR INC,1349 BROADWAY STE 1A,12204,CHRISTOPHER PATSKY,RS,30-07-2018,30-07-2018,30-06-2020
7117664,BEAVER BODY & PAINT,9 GARDEN ALY,12210,QUMBER ALI,RSB,22-04-2014,12-04-2018,31-03-2020
7033106,BEAVER BODY & PAINT,9 GARDEN ALLEY,12210,KIRK HAROLD LINK,RSB,30-01-1986,29-12-2011,31-12-2013
7119618,BHATTI GROUP LLC,236 SOUTH SWAN ST,12202,TUBA LIAQUAT,RS,25-06-2015,27-05-2019,31-05-2021
7048834,BILL DELANOYS GARAGE,144 CATHORINE ST,12202,WILLIAM DELANOY,RSB,05-03-1999,19-02-2013,28-02-2015
7037318,BILLS AUTO REPAIR,183 BRADFORD ST,12206,WILLIAM E MYERS,RSB,19-12-1986,20-03-2015,30-11-2016
7032249,BOBS BODY & FENDER,122 WEST ST,12206,ROBERT E NOWAK,RSB,06-11-1985,24-08-2015,31-10-2017
7052744,BUFFS SERVICE STATION,75 SAND CREEK RD,12205,JEROME K BUFF,RS,18-09-1990,14-08-2018,31-08-2020
7116086,BYRIDER,2017 CENTRAL AVENUE,12205,TCP ALBANY AUTO,RS,24-07-2013,06-05-2019,31-05-2021
3010253,CANNISTRACI AUTO INC,124 WEST ST,12206,JOSEPH A CANNISTRACI,RSB,19-05-1980,24-05-2018,31-05-2020
7030787,CAPITALAND AUTO & NATIONL TRCK RPR INC,22 KRAFT AV,12205,ERIC PEEK,RS,12-07-1985,14-05-2019,30-06-2021
7099805,CAPITALAND AUTOBODY,21 ESSEX ST,12206,CAPITALAND CHWRKS,RS,21-06-2005,31-05-2019,31-05-2021
7110239,CAPITAL CAR CARE INC,76 EXCHANGE STREET,12205,ALBERTO L RODRIGUEZ,RS,04-05-2010,06-04-2018,30-04-2020
7110232,CAPITAL DISTRICT AUTO,1172 CENTRAL AVENUE,12205,G&A AUTO CARE INC,RS,29-04-2010,12-03-2018,31-03-2020
7109610,CAPITAL VALLEY GLASS LLC,1330 CENTRAL AVENUE,12205,PAUL J FERRI,RS,15-01-2010,29-11-2017,31-12-2019
7091172,CAPITOL TECH AUTO REPAIR,169 JEFFERSON ST,12210,DEREK WALSH,RS,20-11-2001,25-08-2017,31-10-2019
7102046,CAPITOL VOLVO OF ALBANY,347 NEW KARNER RD,12205,TEK AUTOMOTIVE GROUP,RS,21-06-2006,17-05-2018,31-05-2020
3010751,CAR BODY SHOP,115 FIRST ST,12210,CARLOS A ROVITO,RSB,08-07-1980,18-06-2018,30-06-2020
3010721,CARMAN SUPPLY & LEASING CO INC,4 ANDERSON DR,12205,BRENDA KRALOVICH,RS,06-07-1984,20-05-2016,30-06-2018
7121871,CARMAX,1860 CENTRAL AVENUE,12205,CARMAX AUTO,RS,03-01-2017,26-11-2018,31-12-2020
7114726,CENTER TRANSPORTATIN SERVICES INC,700 SOUTH PEARL ST,12202,ALAN KRAFCHIN,RS,12-09-2012,17-08-2018,31-08-2020
7124801,CENTRAL AUTO SERVICE CENTER LLC,551 CENTRAL AVENUE,12206,SAJID SAFI,RS,13-11-2018,13-11-2018,31-10-2020
7051598,CENTRAL MOTORS,1022 CENTRAL AVE,12205,VINCENT PUGLIATTI,RS,07-07-2000,27-04-2018,30-04-2020
7028551,CENTURY AUTOBODY REPAIR,1054 CENTRAL AVE,12205,BELA SCHUCH,RSB,10-01-1985,08-01-2013,31-12-2014
7103465,CHAMPAGNE CARRIERS INC,7 BINGHAMTON STREET,12202,JOSEPH A CHAMPAGNE,RS,20-02-2007,12-12-2012,31-01-2015
7114959,COLBY BODY AND FENDER WORKS,709 THIRD STREET,12206,COLBY INETRNATIONAL,RSB,25-10-2012,28-08-2018,30-09-2020
3010119,COLBY BODY&FENDER WORKS INC,709 THIRD ST,12206,BERNARD KAESE,RSB,18-06-1980,30-04-2012,31-05-2014
7103219,COLEMAN AUTO REPAIR& SALES,40 GRANT AVE,12206,CLARENCE A COLEMAN,RS,11-01-2007,02-01-2019,31-12-2020
7103122,COLES CONCIERGE COLLISION CENTER,1904 CENTRAL AVE,12205,JNJC INC,RSB,18-12-2006,23-09-2014,30-11-2016
7120029,COLES CONCIERGE COLLISION CENTER,1517 CENTRAL AVENUE,12205,JNJC INC,RSB,22-09-2015,13-06-2019,31-08-2021
3010031,COLONIE GARAGE INC,1334 CENTRAL AVE,12205,THEODORE MARBAKER,RS,15-07-1980,24-05-2018,31-05-2020
7103952,CONSAUL AUTO CARE,252 CONSAUL RD,12205,BLACKLOCK & EGLIN,RS,02-05-2007,21-03-2019,30-04-2021
7081461,C&R AUTO SALES,44 CATHERINE ST,12202,CHRISTOPHER N,RS,02-07-2003,02-05-2018,30-04-2020
7077492,CRUZ AUTOMOTIVE SERVICE,870 3RD STREET,12206,MANUEL CRUZ,RS,04-02-2008,29-01-2018,31-01-2020
7063179,CUMMINS NORTHEAST LLC,101 RAILROAD AVE,12205,AMY DAVIS,RS,26-05-1993,10-05-2019,30-04-2021
7108969,D&A AUTO REPAIR,58 WATERVLIET AVE,12206,ROMULO CASTILLO,RS,16-09-2009,27-10-2017,31-08-2019
7097398,DEAN FOX AUTO SERVICES LLC,179 SPRING STREET,12203,DEAN A FOX 3RD,RS,08-10-2009,08-02-2018,30-04-2020
7058755,DELAWARE SERVICE,569 DELAWARE AV,12209,GROSS OPERATING CORP,RS,29-04-1992,08-03-2018,31-03-2020
3010116,DENOOYER CHEVROLET INC,127 WOLF RD,12205,JOEL DENOOYER,RS,27-05-1980,19-03-2018,31-05-2020
3470408,DEPAULA CHEVROLET INC,785 CENTRAL AVENUE,12206,ANTHONY J DEPAULA,RS,01-04-1980,16-01-2018,28-02-2020
7122247,DEPAULA FORD LLC,799 CENTRAL AVENUE,12206,ANTHONY DEPAULA,RS,02-05-2017,09-04-2019,30-04-2021
7100673,DESTINATION KIA,760 CENTRAL AVE,12206,ADVANTAGE SUZUKI LLC,RS,03-11-2005,27-08-2019,31-10-2021
3010077,DESTINATION NISSAN,770 CENTRAL AVE,12206,DESTINATION 770 AUTO,RS,30-06-1980,28-03-2018,31-05-2020
7120095,DILLONS AUTO REPAIR LLC,629 THIRD STREET,12206,PAUL F DILLON,RS,09-10-2015,28-08-2017,30-09-2019
3010239,D&S BODY REPAIR,465 JAY ST,12203,DOMINIC S PARATORE,RSB,19-03-1993,15-01-2019,28-02-2021
7046850,DUNBROOK LTD,442 MADISON AV,12208,GEORGE DUNBROOK,RS,07-03-1989,30-01-2019,28-02-2021
7078927,EDK AUTOMOTIVE INC,103 WEST ST,12206,EDWARD F NEWELL 3RD,RS,11-07-1997,25-06-2019,30-06-2021
3010234,EDW DOTTS GARAGE INC,1177 CENTRAL AV,12205,LUCAS L DOTT,RS,05-05-1980,17-05-2018,31-05-2020
3010120,EMPIRE AUTO RADIATOR CO INC,429 SECOND ST,12206,LARRY MERACLE,RS,29-04-1980,24-05-2018,31-05-2020
7072178,ENSIGNS AUTOCARE CENTER,73 SAND CREEK RD,12205,THOMAS LUCIAN ENSIGN,RS,09-03-2006,24-04-2018,28-02-2020
7111216,EUROPEAN REPAIRS INC,11 ESSEX STREET,12206,MARINA SHUMERAY,RS,04-11-2010,05-09-2018,31-10-2020
7060687,EVERETT AUTO REPAIR,34-36 EVERETT RD,12205,JOHN J WILSON JR,RS,14-10-1992,03-08-2018,30-09-2020
7119820,FAT BODY CUSTOMS LLC,2011 CENTRAL AVENUE,12205,SHAWN A DENUE,RS,05-08-2015,05-08-2015,31-07-2017
3010237,FIRESTONE COMPLETE AUTO CARE,188 CENTRAL AV,12206,BFS RETAIL &,RS,22-07-1980,06-06-2018,31-05-2020
3010236,FIRESTONE COMPLETE AUTO CARE,83 WOLF RD,12205,BFS RETAIL&,RS,30-04-1980,01-06-2018,31-05-2020
7109483,FIRST RESPONSE ROADSIDE SERVICE LLC,240 CHURCH ST BOX 11,12202,NICHOLAS W HOLMES,RS,22-12-2009,03-10-2017,30-11-2019
3010174,FLEETPRIDE INC,586 BROADWAY,12204,GORDON ULSH,RS,08-07-1980,08-03-2018,31-05-2020
3010110,GARYS GARAGE,8 A APOLLO DR,12205,GARY HICKOK,RS,06-06-1980,16-05-2018,31-05-2020
7117924,GATEWAY AUTO SERVICES INC,102 ONTARIO STREET,12209,CANDICE F DE GANNES,RS,11-06-2014,15-04-2016,31-05-2018
7110516,GATEWAY AUTO SERVICES INC,102 ONTARIO STREET,12206,CRAIG O ROOPCHAND,RS,22-06-2010,09-04-2014,31-05-2016
7122289,GJJ AUTO SALES AND REPAIR INC,284 CENTRAL AVE,12206,ISMAT FARHAN,RS,11-05-2017,11-04-2019,30-04-2021
7002493,GOLDSTEIN BUICK GMC,PBX12130 1671 CTL AV,12205,ALAN BUICK INC,RS,25-11-1981,08-08-2019,31-10-2021
7109861,GOLDSTEIN MITSUBISHI ALBANY,1673 CENTRAL AVENUE,12205,ALAN BUICK INC,RS,03-03-2010,22-01-2016,28-02-2018
3420306,GOLDSTEIN SUBARU,PBX12130 1754 CTL AV,12205,GOLDSTEIN MOTORS INC,RS,19-07-1979,11-04-2018,30-06-2020
7116877,GONZALEZ AUTO REPAIR,74 EXCHANGE ST,12205,ERIC R GONZALEZ,RS,07-11-2013,07-11-2013,31-10-2015
7123962,GOOD LUCK MOTORS AND REPAIRS INC,102 ONTARIO STREET,12206,USMAN RASHID,RS,18-06-2018,18-06-2018,31-05-2020
3010192,GOODYEAR AUTO SERVICE CENTER,46 WOLF RD,12205,GOODYEAR TIRE& RUBBR,RS,06-06-1980,15-05-2018,31-05-2020
3010064,GOVEL WELDING INC,1932 CENTRAL AVE,12205,GEORGE GOVEL,RS,03-06-1980,16-05-2018,31-05-2020
3010121,HACKELS FOREIGN CAR SERVICE INC,1372 CENTRAL AV,12205,ROBERT W HACKEL,RS,26-08-1977,18-03-2019,30-04-2021
7089496,HAVILLS AUTOMOTIVE COLL & REPAIR CENTER,692 DELAWARE AV,12209,HAVILL HORN INC,RSB,26-03-2001,12-03-2019,28-02-2021
7113255,HAWKINS AUTO,199 SHERMAN STREET,12206,KEYAIRA HAWKINS,RS,20-08-2014,20-08-2014,31-10-2015
