zip_Code,County,City,State
35004,St. Clair,Moody,Alabama
35005,Jefferson,Adamsville,Alabama
35006,Jefferson,Adger,Alabama
35007,Shelby,Alabaster,Alabama
35010,Tallapoosa,Alexander City,Alabama
35013,Blount,Allgood,Alabama
35014,Talladega,Alpine,Alabama
35016,Marshall,Arab,Alabama
35019,Cullman,Baileyton,Alabama
35020,Jefferson,Bessemer,Alabama
35022,Jefferson,Bessemer,Alabama
35023,Jefferson,Bessemer,Alabama
35031,Blount,Blountsville,Alabama
35032,Talladega,Bon Air,Alabama
35033,Cullman,Bremen,Alabama
35034,Bibb,Brent,Alabama
35035,Bibb,Brierfield,Alabama
35036,Jefferson,Brookside,Alabama
35040,Shelby,Calera,Alabama
35042,Bibb,Centreville,Alabama
35043,Shelby,Chelsea,Alabama
35044,Talladega,Childersburg,Alabama
35045,Chilton,Clanton,Alabama
35046,Chilton,Clanton,Alabama
35049,Blount,Cleveland,Alabama
35051,Shelby,Columbiana,Alabama
35052,St. Clair,Cook Springs,Alabama
35053,Cullman,Crane Hill,Alabama
35054,St. Clair,Cropwell,Alabama
35055,Cullman,Cullman,Alabama
35057,Cullman,Cullman,Alabama
35058,Cullman,Cullman,Alabama
35060,Jefferson,Docena,Alabama
35061,Jefferson,Dolomite,Alabama
35062,Jefferson,Dora,Alabama
35063,Walker,Empire,Alabama
35064,Jefferson,Fairfield,Alabama
35068,Jefferson,Fultondale,Alabama
35070,Cullman,Garden City,Alabama
35071,Jefferson,Gardendale,Alabama
35072,Coosa,Goodwater,Alabama
35073,Jefferson,Graysville,Alabama
35074,Bibb,Green Pond,Alabama
35077,Cullman,Hanceville,Alabama
35078,Shelby,Harpersville,Alabama
35079,Blount,Hayden,Alabama
35080,Shelby,Helena,Alabama
35082,Clay,Hollins,Alabama
35083,Cullman,Holly Pond,Alabama
35085,Chilton,Jemison,Alabama
35087,Cullman,Joppa,Alabama
35089,Coosa,Kellyton,Alabama
35091,Jefferson,Kimberly,Alabama
35094,Shelby,Leeds,Alabama
35096,Talladega,Lincoln,Alabama
35097,Blount,Locust Fork,Alabama
35098,Cullman,Logan,Alabama
35111,Tuscaloosa,Mc Calla,Alabama
35112,St. Clair,Margaret,Alabama
35114,Shelby,Alabaster,Alabama
35115,Shelby,Montevallo,Alabama
35116,Jefferson,Morris,Alabama
35117,Jefferson,Mount Olive,Alabama
35118,Jefferson,Mulga,Alabama
35119,Jefferson,New Castle,Alabama
35120,St. Clair,Odenville,Alabama
35121,Blount,Oneonta,Alabama
35124,Shelby,Pelham,Alabama
35125,St. Clair,Pell City,Alabama
35126,Jefferson,Pinson,Alabama
35127,Jefferson,Pleasant Grove,Alabama
35128,St. Clair,Pell City,Alabama
35130,Walker,Quinton,Alabama
35131,St. Clair,Ragland,Alabama
35133,Blount,Remlap,Alabama
35135,St. Clair,Riverside,Alabama
35136,Coosa,Rockford,Alabama
35139,Jefferson,Sayre,Alabama
35143,Shelby,Shelby,Alabama
35146,St. Clair,Springville,Alabama
35147,Shelby,Sterrett,Alabama
35148,Walker,Sumiton,Alabama
35149,Talladega,Sycamore,Alabama
35150,Talladega,Sylacauga,Alabama
35151,Talladega,Sylacauga,Alabama
35160,Talladega,Talladega,Alabama
35171,Chilton,Thorsby,Alabama
35172,Blount,Trafford,Alabama
35173,Jefferson,Trussville,Alabama
35175,Marshall,Union Grove,Alabama
35176,Shelby,Vandiver,Alabama
35178,Shelby,Vincent,Alabama
35179,Cullman,Vinemont,Alabama
35180,Jefferson,Warrior,Alabama
35183,Coosa,Weogufka,Alabama
35184,Bibb,West Blocton,Alabama
35186,Shelby,Wilsonville,Alabama
35187,Shelby,Wilton,Alabama
35188,Bibb,Woodstock,Alabama
35203,Jefferson,Birmingham,Alabama
35204,Jefferson,Birmingham,Alabama
35205,Jefferson,Birmingham,Alabama
35206,Jefferson,Birmingham,Alabama
35207,Jefferson,Birmingham,Alabama
35208,Jefferson,Birmingham,Alabama
35209,Jefferson,Birmingham,Alabama
35210,Jefferson,Birmingham,Alabama
35211,Jefferson,Birmingham,Alabama
35212,Jefferson,Birmingham,Alabama
35213,Jefferson,Birmingham,Alabama
35214,Jefferson,Birmingham,Alabama
35215,Jefferson,Birmingham,Alabama
35216,Jefferson,Birmingham,Alabama
35217,Jefferson,Birmingham,Alabama
35218,Jefferson,Birmingham,Alabama
35221,Jefferson,Birmingham,Alabama
35222,Jefferson,Birmingham,Alabama
35223,Jefferson,Birmingham,Alabama
35224,Jefferson,Birmingham,Alabama
35226,Jefferson,Birmingham,Alabama
35228,Jefferson,Birmingham,Alabama
35229,Jefferson,Birmingham,Alabama
35233,Jefferson,Birmingham,Alabama
35234,Jefferson,Birmingham,Alabama
35235,Jefferson,Birmingham,Alabama
35242,Shelby,Birmingham,Alabama
35243,Jefferson,Birmingham,Alabama
35244,Jefferson,Birmingham,Alabama
35254,Jefferson,Birmingham,Alabama
35401,Tuscaloosa,Tuscaloosa,Alabama
35404,Tuscaloosa,Tuscaloosa,Alabama
35405,Tuscaloosa,Tuscaloosa,Alabama
35406,Tuscaloosa,Tuscaloosa,Alabama
35441,Hale,Akron,Alabama
35442,Pickens,Aliceville,Alabama
35443,Greene,Boligee,Alabama
35444,Tuscaloosa,Brookwood,Alabama
35446,Tuscaloosa,Buhl,Alabama
35447,Pickens,Carrollton,Alabama
35452,Tuscaloosa,Coker,Alabama
35453,Tuscaloosa,Cottondale,Alabama
35456,Tuscaloosa,Duncanville,Alabama
35457,Tuscaloosa,Echola,Alabama
35458,Tuscaloosa,Elrod,Alabama
35459,Sumter,Emelle,Alabama
35460,Sumter,Epes,Alabama
35461,Pickens,Ethelsville,Alabama
35462,Greene,Eutaw,Alabama
35463,Tuscaloosa,Fosters,Alabama
35464,Sumter,Gainesville,Alabama
35466,Pickens,Gordo,Alabama
35469,Greene,Knoxville,Alabama
35470,Sumter,Livingston,Alabama
35473,Tuscaloosa,Northport,Alabama
35474,Hale,Moundville,Alabama
35475,Tuscaloosa,Northport,Alabama
35476,Tuscaloosa,Northport,Alabama
35477,Sumter,Panola,Alabama
35480,Tuscaloosa,Ralph,Alabama
35481,Pickens,Reform,Alabama
35490,Tuscaloosa,Vance,Alabama
35501,Walker,Jasper,Alabama
35503,Walker,Jasper,Alabama
35504,Walker,Jasper,Alabama
35540,Winston,Addison,Alabama
35541,Winston,Arley,Alabama
35542,Fayette,Bankston,Alabama
35543,Marion,Bear Creek,Alabama
35544,Lamar,Beaverton,Alabama
35545,Fayette,Belk,Alabama
35546,Fayette,Berry,Alabama
35548,Marion,Brilliant,Alabama
35549,Walker,Carbon Hill,Alabama
35550,Walker,Cordova,Alabama
35552,Lamar,Detroit,Alabama
35553,Winston,Double Springs,Alabama
35554,Marion,Eldridge,Alabama
35555,Fayette,Fayette,Alabama
35559,Fayette,Glen Allen,Alabama
35563,Marion,Guin,Alabama
35564,Marion,Hackleburg,Alabama
35565,Winston,Haleyville,Alabama
35570,Marion,Hamilton,Alabama
35571,Franklin,Hodges,Alabama
35572,Winston,Houston,Alabama
35574,Fayette,Kennedy,Alabama
35575,Winston,Lynn,Alabama
35576,Lamar,Millport,Alabama
35577,Winston,Natural Bridge,Alabama
35578,Walker,Nauvoo,Alabama
35579,Walker,Oakman,Alabama
35580,Walker,Parrish,Alabama
35581,Franklin,Phil Campbell,Alabama
35582,Franklin,Red Bay,Alabama
35584,Walker,Sipsey,Alabama
35585,Franklin,Spruce Pine,Alabama
35586,Lamar,Sulligent,Alabama
35587,Walker,Townley,Alabama
35592,Lamar,Vernon,Alabama
35593,Franklin,Vina,Alabama
35594,Marion,Winfield,Alabama
35601,Morgan,Decatur,Alabama
35603,Morgan,Decatur,Alabama
35610,Lauderdale,Anderson,Alabama
35611,Limestone,Athens,Alabama
35613,Limestone,Athens,Alabama
35614,Limestone,Athens,Alabama
35615,Limestone,Belle Mina,Alabama
35616,Colbert,Cherokee,Alabama
35618,Lawrence,Courtland,Alabama
35619,Morgan,Danville,Alabama
35620,Limestone,Elkmont,Alabama
35621,Morgan,Eva,Alabama
35622,Morgan,Falkville,Alabama
35630,Lauderdale,Florence,Alabama
35633,Lauderdale,Florence,Alabama
35634,Lauderdale,Florence,Alabama
35640,Morgan,Hartselle,Alabama
35643,Lawrence,Hillsboro,Alabama
35645,Lauderdale,Killen,Alabama
35646,Colbert,Leighton,Alabama
35647,Limestone,Lester,Alabama
35648,Lauderdale,Lexington,Alabama
35649,Limestone,Mooresville,Alabama
35650,Lawrence,Moulton,Alabama
35651,Lawrence,Mount Hope,Alabama
35652,Lauderdale,Rogersville,Alabama
35653,Franklin,Russellville,Alabama
35654,Franklin,Russellville,Alabama
35660,Colbert,Sheffield,Alabama
35661,Colbert,Muscle Shoals,Alabama
35670,Morgan,Somerville,Alabama
35671,Limestone,Tanner,Alabama
35672,Lawrence,Town Creek,Alabama
35673,Lawrence,Trinity,Alabama
35674,Colbert,Tuscumbia,Alabama
35677,Lauderdale,Waterloo,Alabama
35739,Limestone,Ardmore,Alabama
35740,Jackson,Bridgeport,Alabama
35741,Madison,Brownsboro,Alabama
35744,Jackson,Dutton,Alabama
35745,Jackson,Estillfork,Alabama
35746,Jackson,Fackler,Alabama
35747,Marshall,Grant,Alabama
35748,Madison,Gurley,Alabama
35749,Madison,Harvest,Alabama
35750,Madison,Hazel Green,Alabama
35751,Jackson,Hollytree,Alabama
35752,Jackson,Hollywood,Alabama
35754,Morgan,Laceys Spring,Alabama
35755,Marshall,Langston,Alabama
35756,Limestone,Madison,Alabama
35757,Madison,Madison,Alabama
35758,Madison,Madison,Alabama
35759,Madison,Meridianville,Alabama
35760,Madison,New Hope,Alabama
35761,Madison,New Market,Alabama
35763,Madison,Owens Cross Roads,Alabama
35764,Jackson,Paint Rock,Alabama
35765,Jackson,Pisgah,Alabama
35766,Jackson,Princeton,Alabama
35768,Jackson,Scottsboro,Alabama
35769,Jackson,Scottsboro,Alabama
35771,Jackson,Section,Alabama
35772,Jackson,Stevenson,Alabama
35773,Madison,Toney,Alabama
35774,Jackson,Trenton,Alabama
35775,Morgan,Valhermoso Springs,Alabama
35776,Jackson,Woodville,Alabama
35801,Madison,Huntsville,Alabama
35802,Madison,Huntsville,Alabama
35803,Madison,Huntsville,Alabama
35805,Madison,Huntsville,Alabama
35806,Madison,Huntsville,Alabama
35808,Madison,Huntsville,Alabama
35810,Madison,Huntsville,Alabama
35811,Madison,Huntsville,Alabama
35816,Madison,Huntsville,Alabama
35824,Madison,Huntsville,Alabama
35896,Madison,Huntsville,Alabama
35901,Etowah,Gadsden,Alabama
35903,Etowah,Gadsden,Alabama
35904,Etowah,Gadsden,Alabama
35905,Etowah,Gadsden,Alabama
35906,Etowah,Rainbow City,Alabama
35907,Etowah,Gadsden,Alabama
35950,Marshall,Albertville,Alabama
35951,Marshall,Albertville,Alabama
35952,Etowah,Altoona,Alabama
35953,St. Clair,Ashville,Alabama
